t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,288,1,8.3,0,11.58484848,0.97,360,1.1
1,288,2,7.8,0,11.42727273,0.98,360,1.1
2,288,3,6.7,0,11.33939394,1,360,1.1
3,288,4,7,0,11.29393939,1,360,1.1
4,288,5,7,0,11.29393939,1,360,1.1
5,288,6,6.5,0,11.24848485,1,360,1.1
6,288,7,6.3,22.44444444,11.2,1,360,1.1
7,288,8,7.9,224.4444444,11.15151515,1,360,1.1
8,288,9,9.4,493.7777778,11.11212121,1,360,1.1
9,288,10,11.2,583.5555556,11.01515152,1,360,1.1
10,288,11,12.8,819.2222222,10.77575758,0.95,360,1.1
11,288,12,14.2,864.1111111,10.56969697,0.63,360,1.1
12,288,13,12.9,976.3333333,10.36060606,0.59,360,1.1
13,288,14,12.7,460.1111111,10.15151515,0.6,360,1.1
14,288,15,12.7,415.2222222,9.972727273,0.59,360,1.1
15,288,16,12.9,314.2222222,9.784848485,0.6,360,1.1
16,288,17,11.5,67.33333333,9.596969697,0.63,360,1.1
17,288,18,8.3,0,9.439393939,0.76,360,1.1
18,288,19,7.9,0,9.345454545,0.89,360,1.1
19,288,20,8,0,9.254545455,0.94,360,1.1
20,288,21,7.4,0,9.142424242,0.96,360,1.1
21,288,22,7.2,0,9.021212121,0.98,360,1.1
22,288,23,7.7,0,8.9,0.99,360,1.1
23,288,24,8,0,8.790909091,1,360,1.1
24,289,1,8.6,0,8.748484848,1,360,2
25,289,2,8.4,0,8.784848485,1,360,2
26,289,3,8.1,0,8.875757576,1,360,2
27,289,4,7,0,9.006060606,1,360,2
28,289,5,6.4,0,9.221212121,1,360,2
29,289,6,5.5,0,9.427272727,1,360,2
30,289,7,5.9,44.88888889,9.618181818,1,360,2
31,289,8,7.8,291.7777778,9.818181818,1,360,2
32,289,9,9.9,561.1111111,9.960606061,1,360,2
33,289,10,11.3,751.8888889,10.02727273,0.98,360,2
34,289,11,12.1,695.7777778,10.00909091,0.83,360,2
35,289,12,13.8,875.3333333,9.942424242,0.75,360,2
36,289,13,13.8,796.7777778,9.8,0.7,360,2
37,289,14,13.3,662.1111111,9.603030303,0.66,360,2
38,289,15,13.1,538.6666667,9.412121212,0.61,360,2
39,289,16,11,258.1111111,9.23030303,0.72,360,2
40,289,17,10.1,22.44444444,9.033333333,0.78,360,2
41,289,18,8.8,0,8.851515152,0.85,360,2
42,289,19,9,0,8.706060606,0.9,360,2
43,289,20,8.1,0,8.66969697,0.94,360,2
44,289,21,7.7,0,8.627272727,0.96,360,2
45,289,22,6.6,0,8.563636364,0.97,360,2
46,289,23,6.7,0,8.515151515,0.99,360,2
47,289,24,6.2,0,8.481818182,1,360,2
48,290,1,6.9,0,8.512121212,1,360,2.5
49,290,2,6.7,0,8.578787879,1,360,2.5
50,290,3,7.1,0,8.681818182,1,360,2.5
51,290,4,6.5,0,8.827272727,1,360,2.5
52,290,5,5.9,0,8.957575758,1,360,2.5
53,290,6,5.8,0,9.178787879,1,360,2.5
54,290,7,6.1,33.66666667,9.424242424,1,360,2.5
55,290,8,8.7,258.1111111,9.660606061,1,360,2.5
56,290,9,10.2,538.6666667,9.863636364,1,360,2.5
57,290,10,12,785.5555556,9.966666667,0.9,360,2.5
58,290,11,13.2,953.8888889,9.972727273,0.73,360,2.5
59,290,12,12.4,673.3333333,9.93030303,0.67,360,2.5
60,290,13,14.3,763.1111111,9.866666667,0.63,360,2.5
61,290,14,14.5,897.7777778,9.727272727,0.6,360,2.5
62,290,15,13.3,448.8888889,9.603030303,0.64,360,2.5
63,290,16,12.6,190.7777778,9.490909091,0.69,360,2.5
64,290,17,11.2,78.55555556,9.378787879,0.75,360,2.5
65,290,18,10.1,0,9.324242424,0.81,360,2.5
66,290,19,9.9,0,9.306060606,0.83,360,2.5
67,290,20,10,0,9.312121212,0.81,360,2.5
68,290,21,9.2,0,9.315151515,0.82,360,2.5
69,290,22,9.7,0,9.354545455,0.84,360,2.5
70,290,23,9.6,0,9.409090909,0.82,360,2.5
71,290,24,9.4,0,9.496969697,0.82,360,2.5
72,291,1,9.2,0,9.590909091,0.83,360,5
73,291,2,9.5,0,9.727272727,0.82,360,5
74,291,3,9,0,9.912121212,0.83,360,5
75,291,4,9.1,0,10.12727273,0.84,360,5
76,291,5,9.4,0,10.35454545,0.83,360,5
77,291,6,9.5,0,10.63939394,0.84,360,5
78,291,7,9.5,11.22222222,10.94242424,0.84,360,5
79,291,8,9.8,89.77777778,11.25151515,0.86,360,5
80,291,9,10.7,202,11.54242424,0.86,360,5
81,291,10,13,606,11.74848485,0.83,360,5
82,291,11,13.8,886.5555556,11.9030303,0.77,360,5
83,291,12,14.6,460.1111111,11.9969697,0.78,360,5
84,291,13,15.9,763.1111111,12.04545455,0.73,360,5
85,291,14,15.9,381.5555556,12.11818182,0.74,360,5
86,291,15,16,280.5555556,12.12424242,0.74,360,5
87,291,16,15.7,112.2222222,12.10909091,0.76,360,5
88,291,17,15.5,22.44444444,12.13636364,0.76,360,5
89,291,18,15.3,0,12.18484848,0.78,360,5
90,291,19,15.1,0,12.27272727,0.81,360,5
91,291,20,14.8,0,12.39090909,0.79,360,5
92,291,21,14.8,0,12.51818182,0.8,360,5
93,291,22,14.5,0,12.63030303,0.84,360,5
94,291,23,14,0,12.74242424,0.9,360,5
95,291,24,14.2,0,12.83333333,0.94,360,5
96,292,1,14.2,0,12.95454545,0.97,360,4.8
97,292,2,14.1,0,13.09393939,0.98,360,4.8
98,292,3,14,0,13.26060606,0.99,360,4.8
